product_id,website,img_path 1,product_name,clothes,gender,price,color,material,length,size,discount,sales,rate_num,rate_sco,product_path,shop_name
10,shopee,database/product/image013.png,"Just Do It From Loose Premium Hoodie, Unisex Cotton Sweatshirts for Men and Women, Genuine Korean Thick Material",Hoodies & Sweatshirts,Unisex,224,Black,Felt,Long,"M, L, XL",36%,4,865,"4,6",https://shopee.vn/%C3%81o-Hoodie-Just-Do-It-From-R%E1%BB%99ng-Cao-C%E1%BA%A5p-%C3%81o-N%E1%BB%89-B%C3%B4ng-Unisex-Nam-n%E1%BB%AF-Ch%E1%BA%A5t-D%C3%A0y-H%C3%A0n-Qu%E1%BB%91c-Xu%E1%BA%A5t-X%E1%BB%8Bn-i.624263846.23014349032?sp_atk=c1809ee9-84a9-4ba0-a200-b64a15e0bd6a&xptdk=c1809ee9-84a9-4ba0-a200-b64a15e0bd6a,Mabel_storevn
11,shopee,database/product/image014.png,"Just Do It From Loose Premium Hoodie, Unisex Cotton Sweatshirts for Men and Women, Genuine Korean Thick Material",Hoodies & Sweatshirts,Unisex,224,White,Felt,Long,"M, L, XL",36%,4,865,"4,6",https://shopee.vn/%C3%81o-Hoodie-Just-Do-It-From-R%E1%BB%99ng-Cao-C%E1%BA%A5p-%C3%81o-N%E1%BB%89-B%C3%B4ng-Unisex-Nam-n%E1%BB%AF-Ch%E1%BA%A5t-D%C3%A0y-H%C3%A0n-Qu%E1%BB%91c-Xu%E1%BA%A5t-X%E1%BB%8Bn-i.624263846.23014349032?sp_atk=c1809ee9-84a9-4ba0-a200-b64a15e0bd6a&xptdk=c1809ee9-84a9-4ba0-a200-b64a15e0bd6a,Mabel_storevn
12,shopee,database/product/image015.png,MBC Collar Khaki Jackets & Coats,Jackets & Coats,Boy,360,Brown,Khaki,Long,,20%,95,22,"4,7",https://shopee.vn/%C3%81o-Kho%C3%A1c-M.B.C-Collar-Kaki-Jackets & Coats-i.767482890.22836564176?sp_atk=a9459a0f-7f8f-4065-9076-1092653a8e55&xptdk=a9459a0f-7f8f-4065-9076-1092653a8e55,Clo.Essential
13,shopee,database/product/image016.png,MBC Collar Khaki Jackets & Coats,Jackets & Coats,Boy,360,Green,Khaki,Long,,20%,95,22,"4,7",https://shopee.vn/%C3%81o-Kho%C3%A1c-M.B.C-Collar-Kaki-Jackets & Coats-i.767482890.22836564176?sp_atk=a9459a0f-7f8f-4065-9076-1092653a8e55&xptdk=a9459a0f-7f8f-4065-9076-1092653a8e55,Clo.Essential
14,shopee,database/product/image017.png,MBC Corduroy Exclusive Jackets & Coats,Jackets & Coats,Boy,195,Green,Velvet,Long,,50%,41,11,"4,9",https://shopee.vn/%C3%81o-Kho%C3%A1c-M.B.C-Corduroy-Exclusive-Jackets & Coats-i.767482890.22416230560?sp_atk=efb647e3-8d23-4bf8-ac58-e704e284c54b&xptdk=efb647e3-8d23-4bf8-ac58-e704e284c54b,Clo.Essential
15,shopee,database/product/image018.png,MBC Athletics Track Jackets & Coats,Jackets & Coats,Boy,312,Navy,Felt,Long,,20%,63,15,"4,7",https://shopee.vn/%C3%81o-Kho%C3%A1c-M.B.C-Athletics-Track-Jackets & Coats-i.767482890.19177687181,Clo.Essential
16,shopee,database/product/image019.png,Paradox parachute windbreaker - Jolly Jackets & Coats,Jackets & Coats,Boy,349,Green,,Long,"M, L, XL",37%,5.1,1.8,"4,9",https://shopee.vn/%C3%81o-kho%C3%A1c-gi%C3%B3-d%C3%B9-Paradox-Jolly-Jackets & Coats-i.318031417.15095605536?sp_atk=e1e312f7-6100-4605-b4a5-766e95d9df87&xptdk=e1e312f7-6100-4605-b4a5-766e95d9df87,PARADOX
17,shopee,database/product/image020.png,Hoddie N!ke Loose Form Hooded High Quality Thick Cotton Fleece Jacket Unisex Fleece Jacket for Men and Women Korean Style,Hoodies & Sweatshirts,Boy,228,Black,Felt,Long,"M, L, XL",35%,394,35,"4,7",https://shopee.vn/%C3%81o-Hoddie-N!ke-Form-R%E1%BB%99ng-M%C5%A9-Tr%C3%B9m-Ch%E1%BA%A5t-N%E1%BB%89-B%C3%B4ng-D%C3%A0y-Cao-C%E1%BA%A5p-%C3%81o-Kho%C3%A1c-N%E1%BB%89-Unisex-Nam-N%E1%BB%AF-Phong-C%C3%A1ch-H%C3%A0n-Qu%E1%BB%91c-i.624263846.21586309089?sp_atk=993c02bd-0ec7-4e69-83e8-09f9aa0b37b0&xptdk=993c02bd-0ec7-4e69-83e8-09f9aa0b37b0,Mabel_storevn
18,shopee,database/product/image021.png,Bad Choices | Hoodie - SLANT Hoodie Boxy form,Hoodies & Sweatshirts,Unisex,300,Black,Felt,Long,"M, L",22%,503,114,"4,9",https://shopee.vn/Bad-Choices-%C3%81o-hoodie-SLANT-Hoodie-form-Boxy-i.822641583.21592450271?sp_atk=bf79d57d-ff53-497b-9891-1765b7ba22c2&xptdk=bf79d57d-ff53-497b-9891-1765b7ba22c2,BADCHOICES.VN
19,shopee,database/product/image022.png,Local Brand Street Fox Jackets & Coats Hule,Jackets & Coats,Boy,229.5,White,Synthetic,Long,"S, M, L, XL, 2XL",49%,254,213,"5,0",https://shopee.vn/%C3%81o-Kho%C3%A1c-D%C3%B9-Local-Brand-Street-Fox-Jackets & Coats-Hule-i.278310174.18174729652?sp_atk=e57e2e11-673b-41cf-a09e-08fc738f6123&xptdk=e57e2e11-673b-41cf-a09e-08fc738f6123,STREET FOX
20,shopee,database/product/image023.png,"THE SAME hoodie jacket, unisex loose-form pullover outerwear for men and women, cotton-lined nylon fabric",Hoodies & Sweatshirts,Unisex,185,Black,Cotton,Long,"M, L",38%,18,4,"5,0",https://shopee.vn/%C3%81o-kho%C3%A1c-hoodie-THE-SAME-%C3%A1o-kho%C3%A1c-ngo%C3%A0i-chui-%C4%91%E1%BA%A7u-form-r%E1%BB%99ng-unisex-nam-n%E1%BB%AF-v%E1%BA%A3i-ni-l%C3%B3t-b%C3%B4ng-i.51813198.17689945037?sp_atk=161efbf6-1665-4f70-8396-14f844d2ba38&xptdk=161efbf6-1665-4f70-8396-14f844d2ba38,MAYLAN STORE
21,shopee,database/product/image024.png,HAESOO Jackets & Coats Women's Khaki Box Jacket - GOÛT DE JUN,Jackets & Coats,Girl,273,Red,Khaki,Long,,30%,12,2,"4,0",https://shopee.vn/%C3%81o-Kho%C3%A1c-N%E1%BB%AF-Kaki-T%C3%BAi-H%E1%BB%99p-HAESOO-Jackets & Coats-GO%C3%9BT-DE-JUN-i.236989638.21288524537?sp_atk=4c6dbbff-283c-4b6d-95da-121333bce9ac&xptdk=4c6dbbff-283c-4b6d-95da-121333bce9ac,Goût De Jun
22,shopee,database/product/image025.png,DERROR Thick Cotton Felt Zip Hoodie Jacket With Hat 2 Wide Form For Men And Women_F.S.Shop68,Hoodies & Sweatshirts,Unisex,95,Black,Felt,Long,"M, L",50%,1.9,629,"4,8",https://shopee.vn/%C3%81o-Kho%C3%A1c-Hoodie-Zip-c%C3%B3-kh%C3%B3a-k%C3%A9o-n%E1%BB%89-b%C3%B4ng-d%C3%A0y-d%E1%BA%B7n-DERROR-C%C3%B3-N%C3%B3n-2-M%C3%A0u-Form-R%E1%BB%99ng-Nam-N%E1%BB%AF_F.S.Shop68-i.63251786.23336720739?sp_atk=ded68746-bde1-4ba5-96a3-9f161797ff04&xptdk=ded68746-bde1-4ba5-96a3-9f161797ff04,FSShop68
23,shopee,database/product/image026.png,DERROR Thick Cotton Felt Zip Hoodie Jacket With Hat 2 Wide Form For Men And Women_F.S.Shop68,Hoodies & Sweatshirts,Unisex,95,Black,Felt,Long,"M, L",50%,1.9,629,"4,8",https://shopee.vn/%C3%81o-Kho%C3%A1c-Hoodie-Zip-c%C3%B3-kh%C3%B3a-k%C3%A9o-n%E1%BB%89-b%C3%B4ng-d%C3%A0y-d%E1%BA%B7n-DERROR-C%C3%B3-N%C3%B3n-2-M%C3%A0u-Form-R%E1%BB%99ng-Nam-N%E1%BB%AF_F.S.Shop68-i.63251786.23336720739?sp_atk=ded68746-bde1-4ba5-96a3-9f161797ff04&xptdk=ded68746-bde1-4ba5-96a3-9f161797ff04,FSShop68
24,shopee,database/product/image027.png,VARCITY Women's Bomber Jacket 𝐃𝐗 𝐃𝐄𝐗𝐔𝐒 Extremely Smooth Leather Jacket _DXA70508,Jackets & Coats,Girl,589,Gray,,Long,"S, M, L",5%,36,11,"4,9",https://shopee.vn/%C3%81o-Kho%C3%A1c-Bomber-VARCITY-N%E1%BB%AF-%F0%9D%90%83%F0%9D%90%97-%F0%9D%90%83%F0%9D%90%84%F0%9D%90%97%F0%9D%90%94%F0%9D%90%92-Da-Loang-C%E1%BB%B1c-Ch%E1%BA%A5t-_DXA70508-i.1002861340.18685949646?sp_atk=7dd27486-539a-42bc-b024-0eab5e190a88&xptdk=7dd27486-539a-42bc-b024-0eab5e190a88,DEXUS
25,shopee,database/product/image028.png,Fashionable Men's Hoodie Printed with Delicate R Letter Pattern Zenkonam MEN TOP 144C B,Hoodies & Sweatshirts,Boy,69,Black,,Long,"S, M, L, XL",50%,362,118,"3,1",https://shopee.vn/%C3%81o-Hoodie-Nam-Th%E1%BB%9Di-Trang-In-H%E1%BB%8Da-Ti%E1%BA%BFt-Ch%E1%BB%AF-R-Tinh-T%E1%BA%BF-Zenkonam-MEN-TOP-144C-B-i.16580423.7751257826?sp_atk=249a0d97-2007-48a7-a2d5-44fd092cac0a&xptdk=249a0d97-2007-48a7-a2d5-44fd092cac0a,zenkonam
26,shopee,database/product/image029.png,Women's Clothing Set 𝐂𝐂𝐇𝐀𝐓 SN Dress Shirt High Quality Khaki 23BDK8009AT,Jackets & Coats,Girl,459,Gray,Khaki,Long,"S, M, L",39%,20,7,"4,7",https://shopee.vn/Set-%C4%90%E1%BB%93-N%E1%BB%AF-%F0%9D%90%82%F0%9D%90%82%F0%9D%90%87%F0%9D%90%80%F0%9D%90%93-V%C3%A1y-SN-%C3%81o-S%C6%A1-Mi-Ch%E1%BA%A5t-Kaki-Cao-C%E1%BA%A5p-23BDK8009AT-i.99441940.24052740865?sp_atk=4a80ba7e-df53-4061-a6b2-ad2b58d745d0&xptdk=4a80ba7e-df53-4061-a6b2-ad2b58d745d0,CChat Clothes
27,shopee,database/product/image030.png,Local Brand STREET FOX JK Element Jacket,Jackets & Coats,Unisex,229.5,Black,Felt,Long,"S, M, L, XL, 2XL",49%,96,34,"4,8",https://shopee.vn/%C3%81o-Kho%C3%A1c-Local-Brand-STREET-FOX-JK-Element-i.278310174.13662267365?sp_atk=6193d00d-34fe-41c1-8b56-3f6ef2cbb1f8&xptdk=6193d00d-34fe-41c1-8b56-3f6ef2cbb1f8,STREET FOX
28,shopee,database/product/image031.png,Men's Autumn Winter Sweatshirt Hoodie W Letter Pattern MEN TOP 187 B (Black),Hoodies & Sweatshirts,Boy,69,Black,Felt,Long,"S, M, L, XL",50%,464,175,"2,5",https://shopee.vn/%C3%81o-Hoodie-N%E1%BB%89-Nam-Thu-%C4%90%C3%B4ng-H%E1%BB%8Da-Ti%E1%BA%BFt-Ch%E1%BB%AF-W-MEN-TOP-187-B-(%C4%90en)-i.16580423.3176404402?sp_atk=e6ed2fd5-ebd0-48fb-9f3f-711485342797&xptdk=e6ed2fd5-ebd0-48fb-9f3f-711485342797,zenkonam
29,shopee,database/product/image032.png,Teelab Local Brand Unisex Active-Jackets & Coats AK063 Windbreaker,Jackets & Coats,Unisex,295,Black,Felt,Long,"M, L, XL",46%,8.4,2.4,"4,9",https://shopee.vn/%C3%81o-Kho%C3%A1c-Gi%C3%B3-Teelab-Local-Brand-Unisex-Active-Jacket-AK063-i.308542026.22127829985?sp_atk=04408c1e-7a51-4e16-bb20-cae95ed319ad&xptdk=04408c1e-7a51-4e16-bb20-cae95ed319ad,Teelab Official
30,shopee,database/product/image033.png,"Teelab Local Brand Unisex Black Shorts, Basic Storeunisex Men's and Women's Shorts",Shorts,Unisex,79,Black,Cotton,Short,"M,L,XL",21%,1.4,159,"4,7",https://shopee.vn/Qu%E1%BA%A7n-Short-Teelab-Local-Brand-Unisex-M%C3%A0u-%C4%90en-Qu%E1%BA%A7n-L%E1%BB%ABng-Nam-N%E1%BB%AF-Phong-C%C3%A1ch-Basic-Storeunisex-i.293356067.22147104953?sp_atk=103f36c4-7ae0-4194-897b-43aec4937459&xptdk=103f36c4-7ae0-4194-897b-43aec4937459,Teelab Official
31,shopee,database/product/image034.png,"[SMAKER] Men's sports shorts, high quality mesh fabric shorts - THE RACK MESH SHORT",Shorts,Boy,530,Green,Fabric,Short,"M,L,XL,2XL",None,98,27,"5,0",https://shopee.vn/-SMAKER-Qu%E1%BA%A7n-%C4%91%C3%B9i-nam-ki%E1%BB%83u-th%E1%BB%83-thao-qu%E1%BA%A7n-short-v%E1%BA%A3i-l%C6%B0%E1%BB%9Bi-mesh-cao-c%E1%BA%A5p-THE-RACK-MESH-SHORT-i.328027914.23713125489?sp_atk=1d07cd92-3fd1-4e7b-83a9-67b845a84549&xptdk=1d07cd92-3fd1-4e7b-83a9-67b845a84548,Smaker
32,shopee,database/product/image035.png,"[SMAKER] Men's sports shorts, high quality mesh fabric shorts - THE RACK MESH SHORT",Shorts,Boy,530,Black,Fabric,Short,"M,L,XL,2XL",None,98,27,"5,0",https://shopee.vn/-SMAKER-Qu%E1%BA%A7n-%C4%91%C3%B9i-nam-ki%E1%BB%83u-th%E1%BB%83-thao-qu%E1%BA%A7n-short-v%E1%BA%A3i-l%C6%B0%E1%BB%9Bi-mesh-cao-c%E1%BA%A5p-THE-RACK-MESH-SHORT-i.328027914.23713125489?sp_atk=1d07cd92-3fd1-4e7b-83a9-67b845a84549&xptdk=1d07cd92-3fd1-4e7b-83a9-67b845a84549,Smaker
33,shopee,database/product/image036.png,"Women's shorts, unisex wide-leg shorts with elastic waistband, youthful style",Shorts,Unisex,60,Green,Fabric,Medium,"M,L,XL",50%,475,92,"4,2",https://shopee.vn/%C4%90%E1%BA%BFn-100kg-Qu%E1%BA%A7n-short-n%E1%BB%AF-Qu%E1%BA%A7n-ng%E1%BB%91-nam-n%E1%BB%AF-unisex-%E1%BB%91ng-r%E1%BB%99ng-c%E1%BA%A1p-chung-co-d%C3%A3n-phong-c%C3%A1ch-tr%E1%BA%BB-trung-i.211794437.22981194660?sp_atk=30a6f99b-ee8f-40d2-b5c6-4b2196ba21ee&xptdk=30a6f99b-ee8f-40d2-b5c6-4b2196ba21ee,xuongquanduinam
34,shopee,database/product/image037.png,"Women's shorts, unisex wide-leg shorts with elastic waistband, youthful style",Shorts,Unisex,60,Black,Fabric,Medium,"M,L,XL",50%,475,92,"4,2",https://shopee.vn/%C4%90%E1%BA%BFn-100kg-Qu%E1%BA%A7n-short-n%E1%BB%AF-Qu%E1%BA%A7n-ng%E1%BB%91-nam-n%E1%BB%AF-unisex-%E1%BB%91ng-r%E1%BB%99ng-c%E1%BA%A1p-chung-co-d%C3%A3n-phong-c%C3%A1ch-tr%E1%BA%BB-trung-i.211794437.22981194660?sp_atk=30a6f99b-ee8f-40d2-b5c6-4b2196ba21ee&xptdk=30a6f99b-ee8f-40d2-b5c6-4b2196ba21ee,xuongquanduinam
35,shopee,database/product/image038.png,STICK PANTS - SAIGONZUP,Pants,Boy,270,Black,Fabric,Long,"M,L,XL",None,132,37,"5,0",https://shopee.vn/Qu%E1%BA%A7n-STICK-PANTS-SAIGONZUP-i.61190320.21811972805?sp_atk=4b6698b1-3084-4a18-8d2f-4cc71237e7d3&xptdk=4b6698b1-3084-4a18-8d2f-4cc71237e7d3,SAIGONZUP STORE
36,shopee,database/product/image039.png,Cargo Pants Jeans for Men and Women Loose Form UX Clothing Blue - UXQ06,Pants,Unisex,197.34,Blue,Fabric,Long,"M,L,XL",37%,847,53,"5,0",https://shopee.vn/Qu%E1%BA%A7n-Jean-T%C3%BAi-H%E1%BB%99p-N%E1%BB%95i-Cargo-Pants-Nam-N%E1%BB%AF-Form-R%E1%BB%99ng-UX-Clothing-M%C3%A0u-Xanh-UXQ06-i.517845387.22046268562?sp_atk=2b50018e-9736-4771-9087-b67e2aa89513&xptdk=2b50018e-9736-4771-9087-b67e2aa89513,UX CLOTHING
37,shopee,database/product/image040.png,SMOKE V1 BAGGY SHORT - Whose wash shorts,Shorts,Boy,248,Light grey,Cotton,Short,"S,M,L,XL,2XL",47%,6.2,1.4,"5,0",https://shopee.vn/SMOKE-V1-BAGGY-SHORT-Qu%E1%BA%A7n-wash-%C4%91%C3%B9i-Whose-i.978489333.22744869593?sp_atk=ad97e07b-ec8f-4997-b3cf-9f6265caeced&xptdk=ad97e07b-ec8f-4997-b3cf-9f6265caeced,whose.studio
38,shopee,database/product/image041.png,SMOKE V1 BAGGY SHORT - Whose wash shorts,Shorts,Boy,248,Black,Cotton,Short,"S,M,L,XL,2XL",47%,6.2,1.4,"5,0",https://shopee.vn/SMOKE-V1-BAGGY-SHORT-Qu%E1%BA%A7n-wash-%C4%91%C3%B9i-Whose-i.978489333.22744869593?sp_atk=ad97e07b-ec8f-4997-b3cf-9f6265caeced&xptdk=ad97e07b-ec8f-4997-b3cf-9f6265caeced,whose.studio
39,shopee,database/product/image042.png,RHUDE letter cashew flower wool jacquard casual cropped pants American high street FOG fashion brand loose drawstring shorts,Shorts,Boy,655.5,White,Cotton,Short,"S,M,XL,2XL",None,None,None,None,https://shopee.vn/RHUDE-letter-cashew-flower-wool-jacquard-casual-cropped-pants-American-high-street-FOG-fashion-brand-loose-drawstring-shorts-i.883197768.23058333030?sp_atk=0de97a5e-0750-4aab-bd51-40c80b7596f8&xptdk=0de97a5e-0750-4aab-bd51-40c80b7596f8,peiqinhu.vn
40,shopee,database/product/image043.png,NBA Basketball Shorts American Basketball Sports Loose Fit Breathable Quick-Dry Kyrie Irving Logo Embroidered 7 Colors Optional M-5XL For,Shorts,Boy,213.333,Custom,Polyester,Medium,"L,XL,2XL,3XL,4XL,5XL",45%,26,3,"5,0",https://shopee.vn/NBA-Qu%E1%BA%A7n-Short-B%C3%B3ng-R%E1%BB%95-Th%E1%BB%83-Thao-B%C3%B3ng-R%E1%BB%95-M%E1%BB%B9-D%C3%A1ng-R%E1%BB%99ng-Tho%C3%A1ng-Kh%C3%AD-Nhanh-Kh%C3%B4-Th%C3%AAu-Logo-Kyrie-Irving-7-M%C3%A0u-T%C3%B9y-Ch%E1%BB%8Dn-M-5XL-Cho-Nam-i.800137861.20882526683?sp_atk=ccf22d14-a77e-4fff-a0f4-31efbf94fff3&xptdk=ccf22d14-a77e-4fff-a0f4-31efbf94fff3,MANSTR.vn
41,shopee,database/product/image044.png,Cargo Pants HIDER Unisex Cargo Pants for Men and Women Wide Leg Khaki,Pants,Unisex,450,Black,Khaki,Long,"M,L,XL,2XL,3XL",44%,10,5,"5,0",https://shopee.vn/Quần-Cargo-Pants-Túi-Hộp-HIDER-Unisex-Nam-Nữ-Chất-Kaki-Ống-Rộng-i.79961328.23807212440?sp_atk=bb251bc1-7e3b-4e26-9dda-1947a44158a9&xptdk=bb251bc1-7e3b-4e26-9dda-1947a44158a9,HIDER.VN
42,shopee,database/product/image045.png,"MT05 - Men's Jogger Pants with Box, High Quality, Export Standard",Jogger,Boy,159,Custom,Khaki,Long,"M,L,XL,2XL,3XL",13%,5.5,1.3,"4,5",https://shopee.vn/MT05-Quần-Jogger-Nam-Túi-Hộp-Cao-Cấp-Chuẩn-Hàng-Xuất-i.162116788.23628191318?sp_atk=c1a527ab-43b0-4cef-a64e-53319cdb8a22&xptdk=c1a527ab-43b0-4cef-a64e-53319cdb8a22,MATURE MEN STORE
43,shopee,database/product/image046.png,"A-line skirt with cutout on one thigh and inner lining, suitable for work or going out",Skirts,Girl,99,Black,Cotton,Short,"M, L, S",,160,46,4.6,https://shopee.vn/Ch%C3%A2n-V%C3%A1y-Ch%E1%BB%AF-A-Kho%C3%A9t-1-B%C3%AAn-%C4%90%C3%B9i-C%C3%B3-L%C3%B3t-Trong-Th%C3%ADch-H%E1%BB%A3p-C%C3%B4ng-S%E1%BB%9F-%C4%90i-Ch%C6%A1i-..TTKXA0238-i.25830326.15905333158?sp_atk=819af9ce-9ae6-4889-ad10-ad1599cad4d1&xptdk=819af9ce-9ae6-4889-ad10-ad1599cad4d1,LaLa Shop
44,shopee,database/product/image047.png,"A-line skirt with cutout on one thigh and inner lining, suitable for work or going out",Skirts,Girl,99,White,Cotton,Short,"M, L, S",,160,46,4.6,https://shopee.vn/Ch%C3%A2n-V%C3%A1y-Ch%E1%BB%AF-A-Kho%C3%A9t-1-B%C3%AAn-%C4%90%C3%B9i-C%C3%B3-L%C3%B3t-Trong-Th%C3%ADch-H%E1%BB%A3p-C%C3%B4ng-S%E1%BB%9F-%C4%90i-Ch%C6%A1i-..TTKXA0238-i.25830326.15905333158?sp_atk=819af9ce-9ae6-4889-ad10-ad1599cad4d1&xptdk=819af9ce-9ae6-4889-ad10-ad1599cad4d2,LaLa Shop
